time_s,ue_x_m,SINR_dB,throughput_Mbps,serving_idx
0,-1200,10.7340566834961,36.8273860727543,1
0.01,-1199.865888,14.2019017709381,47.7157928259129,1
0.02,-1199.731776,14.6247967730349,49.0715288510233,1
0.03,-1199.597664,15.5084142242414,51.9180537302449,1
0.04,-1199.463552,5.79960938107927,22.6350080891795,1
0.05,-1199.32944,16.1403499662574,53.9637480153588,1
0.06,-1199.195328,9.86837193631971,34.1973602165613,1
0.07,-1199.061216,9.714966634547,33.7361484066981,1
0.08,-1198.927104,17.3166956340376,57.7899776143567,1
0.09,-1198.792992,22.8358552643521,75.9339656213281,1
0.1,-1198.65888,19.157729581816,63.8146920466228,1
0.11,-1198.524768,20.988401940763,69.8364106996638,1
0.12,-1198.390656,10.6976410022606,36.7158725847696,1
0.13,-1198.256544,6.27529230412792,23.9000597183571,2
0.14,-1198.122432,15.7047303615535,52.5527459740235,1
0.15,-1197.98832,11.5282449389134,39.2766336186618,1
0.16,-1197.854208,14.3982554834881,48.3446982630712,1
0.17,-1197.720096,21.0945808398547,70.1863758597853,1
0.18,-1197.585984,12.9971768687867,43.8816591658909,1
0.19,-1197.451872,13.7757792020379,46.3545941355089,1
0.2,-1197.31776,8.82649697628303,31.0972815952196,1
0.21,-1197.183648,12.43662554075,42.1141586537425,1
0.22,-1197.049536,6.15175520692476,23.5688779685978,1
0.23,-1196.915424,16.4551138189801,54.9854034442838,1
0.24,-1196.781312,11.3471300343056,38.7152991841433,1
0.25,-1196.6472,13.2330394782208,44.6287117420838,1
0.26,-1196.513088,10.2289707439778,35.2874263388804,1
0.27,-1196.378976,1.34390689136819,12.4041812778218,1
0.28,-1196.244864,14.4989199646714,48.6675080694178,1
0.29,-1196.110752,22.023731935175,73.2515028399129,1
0.3,-1195.97664,13.07748502854,44.1358083242729,1
0.31,-1195.842528,9.71306866336063,33.7304519068756,1
0.32,-1195.708416,4.85429639965054,20.2074923635905,1
0.33,-1195.574304,12.0303821009204,40.8408090505187,1
0.34,-1195.440192,24.365163132066,80.9920265048533,1
0.35,-1195.30608,21.847139737003,72.6686094027115,1
0.36,-1195.171968,6.87223327383044,25.5251822336064,1
0.37,-1195.037856,8.63925092757966,30.5487102395641,1
0.38,-1194.903744,13.9777838565187,46.9992347178662,1
0.39,-1194.769632,17.5899673335464,58.6817347406214,1
0.4,-1194.63552,17.0034372771762,56.7689941223451,1
0.41,-1194.501408,2.98038816694599,15.7834578966642,1
0.42,-1194.367296,17.996445236611,60.0099400807453,1
0.43,-1194.233184,10.5472458125857,36.2561095361157,1
0.44,-1194.099072,14.9261899696292,50.0404633249353,1
0.45,-1193.96496,10.9412854472492,37.4633413003583,1
0.46,-1193.830848,19.6904774363463,65.5644511349273,1
0.47,-1193.696736,10.0200745387479,34.6549527025331,1
0.48,-1193.562624,17.8583983395479,59.5586318050599,1
0.49,-1193.428512,24.2640955811411,80.6575260035741,1
0.5,-1193.2944,9.94238966998108,34.4204420397131,1
0.51,-1193.160288,8.43433865733443,29.9516392571232,1
0.52,-1193.026176,17.9179133887273,59.7531727933096,1
0.53,-1192.892064,21.742315302278,72.3226785417288,1
0.54,-1192.757952,6.23086030554152,23.7807359729219,1
0.55,-1192.62384,23.479535453326,78.0619308202091,1
0.56,-1192.489728,18.6928979605106,62.2900904368675,1
0.57,-1192.355616,9.04998200476029,31.7556099572466,1
0.58,-1192.221504,13.6554023344724,45.971015366014,1
0.59,-1192.087392,27.667040817311,91.932586217077,1
0.6,-1191.95328,19.0926134228988,63.6009947303398,1
0.61,-1191.819168,10.9629255785672,37.5298839701182,1
0.62,-1191.685056,10.5458154481731,36.2517429899033,1
0.63,-1191.550944,19.9424285565548,66.392772659017,1
0.64,-1191.416832,22.3193321587533,74.2275444879024,1
0.65,-1191.28272,0.307221742015741,10.5193068179344,1
0.66,-1191.148608,22.7543885371825,75.6647534653776,1
0.67,-1191.014496,19.4870879877336,64.8961533586809,1
0.68,-1190.880384,20.0266030307313,66.6696158470512,1
0.69,-1190.746272,27.4998865655132,91.3782788219636,1
0.7,-1190.61216,15.3330093795649,51.3516305926632,1
0.71,-1190.478048,15.2012914105159,50.9267089666583,1
0.72,-1190.343936,16.949458510956,56.5932070499535,1
0.73,-1190.209824,22.6835302061613,75.4306190973601,1
0.74,-1190.075712,13.7752544275585,46.3529210140419,1
0.75,-1189.9416,22.2564670080728,74.0199368833164,1
0.76,-1189.807488,26.7174787693296,88.7842310726988,1
0.77,-1189.673376,27.5643792181711,91.5921412695582,1
0.78,-1189.539264,6.43748010889528,24.3375885583838,1
0.79,-1189.405152,30.5566795822562,101.519778125548,1
0.8,-1189.27104,31.6411695849601,105.119573654873,1
0.81,-1189.136928,19.5992698696848,65.2647189304862,1
0.82,-1189.002816,23.9542671641946,79.632279367069,1
0.83,-1188.868704,34.6217756758037,115.01602579008,1
0.84,-1188.734592,16.5891619971927,55.4209992915227,1
0.85,-1188.60048,25.9479460389883,86.2338402408634,1
0.86,-1188.466368,24.860173332966,82.6307462572642,1
