time_s,ue_x_m,SINR_dB,throughput_Mbps,serving_idx
0,-1200,25.010424519278,83.1282728831885,1
0.01,-1199.32944,23.9239793356778,79.5320699517541,1
0.02,-1198.65888,24.6935944206697,82.0792192245585,1
0.03,-1197.98832,33.8038473639544,112.299957851025,1
0.04,-1197.31776,27.4492327790637,91.2103110358352,1
0.05,-1196.6472,24.8233334638456,82.5087669091668,1
0.06,-1195.97664,27.0202305516605,89.7878863582671,1
0.07,-1195.30608,28.7904512368869,95.6588565346515,1
0.08,-1194.63552,30.4080684689249,101.026544097484,1
0.09,-1193.96496,26.6165174845082,88.4495659195083,1
0.1,-1193.2944,29.8111201464683,99.0454579309163,1
0.11,-1192.62384,34.4173974447586,114.337335749214,1
0.12,-1191.95328,29.6181732198254,98.4051859245403,1
0.13,-1191.28272,26.8920204866051,89.3628384652887,1
0.14,-1190.61216,19.6938657389981,65.5755872913453,1
0.15,-1189.9416,21.6960628166599,72.1700584047838,1
0.16,-1189.27104,30.0629474471823,99.8811620887855,1
0.17,-1188.60048,19.1902240475869,63.9213463492256,1
0.18,-1187.92992,26.0363696958078,86.5268399458737,1
0.19,-1187.25936,19.3160777935688,64.3345163034997,1
0.2,-1186.5888,16.8437198759329,56.2489847141909,1
0.21,-1185.91824,21.5663093198816,71.7419672026829,1
0.22,-1185.24768,18.3905731544797,61.2996484526025,1
0.23,-1184.57712,17.1233564540156,57.1596746331448,1
0.24,-1183.90656,26.0426758882582,86.5477366491142,1
0.25,-1183.236,30.1915909729242,100.308092015682,1
0.26,-1182.56544,26.767627693989,88.9504702448766,1
0.27,-1181.89488,28.8642141021373,95.9035708928017,1
0.28,-1181.22432,27.2711544969025,90.6198322515027,1
0.29,-1180.55376,22.7622602400889,75.6907648703289,1
0.3,-1179.8832,24.3855707120268,81.0595723786319,1
0.31,-1179.21264,33.4774304234,111.216093073337,1
0.32,-1178.54208,29.672522538141,98.5855347562503,1
0.33,-1177.87152,25.3155572831268,84.1388234233312,1
0.34,-1177.20096,30.8273775682317,102.418251117104,1
0.35,-1176.5304,32.9544519315143,109.47962470895,1
0.36,-1175.85984,13.0998485810322,44.2066211113232,1
0.37,-1175.18928,32.0658905691582,106.529545710925,1
0.38,-1174.51872,27.4652818325267,91.2635292644935,1
0.39,-1173.84816,32.5051320430175,107.987812375981,1
0.4,-1173.1776,18.4735057087479,61.5712474328305,1
0.41,-1172.50704,8.94387616924084,31.4425718070154,1
0.42,-1171.83648,29.2880233058421,97.3096944562263,1
0.43,-1171.16592,26.6461808315883,88.5478918586204,1
0.44,-1170.49536,30.0003544484337,99.6734388643421,1
0.45,-1169.8248,32.9123093743748,109.339701376495,1
0.46,-1169.15424,21.697502899759,72.1748101080261,1
0.47,-1168.48368,23.7310089314496,78.8936808145704,1
0.48,-1167.81312,30.8218664295894,102.399958639817,1
0.49,-1167.14256,31.1037657114837,103.335658009459,1
0.5,-1166.472,26.7810037798587,88.9948114488745,1
0.51,-1165.80144,31.7330877996516,105.424712439373,1
0.52,-1165.13088,25.6620002142702,85.2864382885359,1
0.53,-1164.46032,34.6602319168315,115.143730793501,1
0.54,-1163.78976,19.538913791686,65.0664103372021,1
0.55,-1163.1192,25.5276241555003,84.8412782702914,1
0.56,-1162.44864,17.4342348300846,58.1734171828215,1
0.57,-1161.77808,33.2118633928487,110.33430678113,1
0.58,-1161.10752,42.1442433590856,140.001026567704,1
0.59,-1160.43696,32.4010873259549,107.642379671693,1
0.6,-1159.7664,31.3659669453099,104.206016600104,1
0.61,-1159.09584,37.4419621629239,124.382105832248,1
0.62,-1158.42528,39.3255415556112,130.638306321298,1
0.63,-1157.75472,15.2494642769962,51.082071214628,1
0.64,-1157.08416,23.9605430956003,79.6530440793502,1
0.65,-1156.4136,39.2583964510356,130.415281363883,1
0.66,-1155.74304,21.6285729439261,71.9473805221447,1
0.67,-1155.07248,44.7206637606896,148.559315888805,1
0.68,-1154.40192,37.2270696796171,123.668380317864,1
0.69,-1153.73136,28.1052767605549,93.3860088091339,1
0.7,-1153.0608,36.89883275187,122.578215283159,1
0.71,-1152.39024,33.5372149262056,111.414604369793,1
0.72,-1151.71968,37.3189396333744,123.973508525457,1
0.73,-1151.04912,42.489041011722,141.146352375563,1
0.74,-1150.37856,44.6307339959868,148.260585856145,1
0.75,-1149.708,38.0348202190544,126.351205949717,1
0.76,-1149.03744,39.916118737171,132.599947027527,1
0.77,-1148.36688,45.9626529906138,152.684993798845,1
