time_s,ue_x_m,SINR_dB,throughput_Mbps,serving_idx
1.02,-1131.60288,33.2983460116427,110.621460112626,1
1.03,-1130.93232,31.7924551553498,105.621795192888,1
1.04,-1130.26176,28.6761232763354,95.2795750152394,1
1.05,-1129.5912,30.5379948189441,101.457763356951,1
1.06,-1128.92064,32.6095016766335,108.334328484004,1
1.07,-1128.25008,24.1823353264071,80.386947557527,1
1.08,-1127.57952,25.5403295698364,84.8833670452211,1
1.09,-1126.90896,32.4268932101058,107.72805582028,1
1.1,-1126.2384,24.1501906144438,80.2805727164542,1
1.11,-1125.56784,34.2560120129769,113.801422395607,1
1.12,-1124.89728,27.8066581205307,92.395605150364,1
1.13,-1124.22672,37.3505090225737,124.078360397488,1
1.14,-1123.55616,28.0904492093667,93.3368289583609,1
1.15,-1122.8856,33.4531690770407,111.135534897974,1
1.16,-1122.21504,32.8841767254868,109.246294663934,1
1.17,-1121.54448,37.8149640536061,125.620977341813,1
1.18,-1120.87392,31.7654592488649,105.532176231034,1
1.19,-1120.20336,20.4354771882804,68.0151039726324,1
1.2,-1119.5328,36.2968367299874,120.578865763495,1
1.21,-1118.86224,27.6807484312395,91.9780442605955,1
1.22,-1118.19168,30.9335737466632,102.770739374472,1
1.23,-1117.52112,39.611187476377,131.587094277303,1
1.24,-1116.85056,16.7769459699259,56.0316956658125,1
1.25,-1116.18,24.890599515777,82.7314919884183,1
1.26,-1115.50944,28.0643635094769,93.250308841973,1
1.27,-1114.83888,34.4705941582241,114.513987913779,1
1.28,-1114.16832,42.8157694559504,142.23166183312,1
1.29,-1113.49776,29.6853199924274,98.6280012541069,1
1.3,-1112.8272,26.8585037704432,89.2517265022117,1
1.31,-1112.15664,34.7088484409101,115.305176490413,1
1.32,-1111.48608,40.5940162235832,134.851661189885,1
1.33,-1110.81552,30.4511790722707,101.169624817295,1
1.34,-1110.14496,25.6307543505559,85.1829238507117,1
1.35,-1109.4744,29.9240430344077,99.4201932968617,1
1.36,-1108.80384,31.2396644214866,103.786759306978,1
1.37,-1108.13328,34.6734305858929,115.187560857644,1
1.38,-1107.46272,45.2447252072467,150.300155028068,1
1.39,-1106.79216,30.3673693081281,100.891467952011,1
1.4,-1106.1216,31.4482662033884,104.479211226782,1
1.41,-1105.45104,32.4433781870924,107.782786488015,1
1.42,-1104.78048,30.4900041672572,101.298483365114,1
1.43,-1104.10992,33.0820505947258,109.903286841955,1
1.44,-1103.43936,27.7727496181335,92.2831506151206,1
1.45,-1102.7688,23.8383440806605,79.248754997361,1
1.46,-1102.09824,22.5209927251605,74.8936308765347,1
1.47,-1101.42768,34.1493062971235,113.447088315213,1
1.48,-1100.75712,42.5696357527642,141.414067356555,1
1.49,-1100.08656,24.3105976669101,80.8114291133619,1
1.5,-1099.416,7.26475555309736,26.6150162197184,1
1.51,-1098.74544,27.8247818210053,92.4557113889688,1
1.52,-1098.07488,27.0217356755091,89.7928763630857,1
1.53,-1097.40432,32.2827445184512,107.249482514516,1
1.54,-1096.73376,29.0192425029101,96.4179077997048,1
1.55,-1096.0632,25.3316881897801,84.1922523107688,1
1.56,-1095.39264,33.2953616396548,110.611550881728,1
1.57,-1094.72208,28.2829167422008,93.9752229681141,1
1.58,-1094.05152,35.4716991559981,117.838526069475,1
1.59,-1093.38096,17.6309184036753,58.8154530654476,1
1.6,-1092.7104,26.8247011530159,89.139668528548,1
1.61,-1092.03984,25.5780598361257,85.0083567757066,1
1.62,-1091.36928,25.9224446919486,86.1493420407671,1
1.63,-1090.69872,37.6589185745997,125.10269275756,1
1.64,-1090.02816,24.2346562169415,80.5600967813245,1
1.65,-1089.3576,32.5053653819909,107.988587076153,1
1.66,-1088.68704,32.468543837969,107.86633750757,1
1.67,-1088.01648,32.312699677297,107.34893280676,1
1.68,-1087.34592,25.1868616322626,83.7125779228858,1
1.69,-1086.67536,21.5902928452448,71.8210886204555,1
1.7,-1086.0048,30.4388755224998,101.128790167177,1
1.71,-1085.33424,34.0367667937802,113.073385801792,1
1.72,-1084.66368,26.5733064462327,88.3063356796906,1
1.73,-1083.99312,30.5869001987015,101.620080910807,1
1.74,-1083.32256,31.1134633438901,103.367847909196,1
1.75,-1082.652,34.2292416931695,113.712526785248,1
1.76,-1081.98144,24.1673453580563,80.3373416527566,1
1.77,-1081.31088,35.4148732915477,117.649808521182,1
1.78,-1080.64032,20.9170747145191,69.6013543523839,1
1.79,-1079.96976,40.0924325340752,133.185590272266,1
1.8,-1079.2992,16.6540263236388,55.6318831265962,1
1.81,-1078.62864,35.7715154819417,118.834221415518,1
1.82,-1077.95808,30.3720891799984,100.907132640689,1
1.83,-1077.28752,29.7875547820458,98.9672573833938,1
1.84,-1076.61696,36.8236453014966,122.328499422542,1
1.85,-1075.9464,35.0856125463424,116.556354498882,1
1.86,-1075.27584,37.5270265456744,124.664633173423,1
1.87,-1074.60528,41.5005048384202,137.862714169768,1
1.88,-1073.93472,25.0360523282061,83.2131396810969,1
1.89,-1073.26416,36.0039563505161,119.606174259944,1
1.9,-1072.5936,31.2774001499305,103.912020934575,1
1.91,-1071.92304,52.8799298373901,175.663398915289,1
1.92,-1071.25248,41.3594619265381,137.394213466047,1
1.93,-1070.58192,30.0072989840379,99.6964850863451,1
1.94,-1069.91136,43.4140564343137,144.219031075165,1
1.95,-1069.2408,48.451154931451,160.951458886065,1
1.96,-1068.57024,50.331100760496,167.196431341672,1
1.97,-1067.89968,40.3442777163751,134.022122296506,1
1.98,-1067.22912,51.1116500363247,169.789337920062,1
1.99,-1066.55856,47.1465433961318,156.617705386233,1
2,-1065.888,54.2039200946238,180.061579815505,1
2.01,-1065.21744,42.20795394311,140.21265572431,1
2.02,-1064.54688,40.672106535804,135.11104917127,1
2.03,-1063.87632,44.7324025148774,148.598309872899,1
2.04,-1063.20576,38.7995670243831,128.891273674469,1
2.05,-1062.5352,34.4953445145769,114.596177541304,1
2.06,-1061.86464,38.6290019072737,128.324744796522,1
2.07,-1061.19408,34.9196505900479,116.005215004213,1
2.08,-1060.52352,50.1665034952373,166.64965622549,1
2.09,-1059.85296,46.7021182736433,155.141387072998,1
2.1,-1059.1824,46.5398018752956,154.602195409184,1
2.11,-1058.51184,30.4096436805719,101.031772079046,1
2.12,-1057.84128,46.5148979930063,154.519468343339,1
2.13,-1057.17072,50.8830424124792,169.029925868313,1
2.14,-1056.50016,36.0030323268487,119.603105489983,1
2.15,-1055.8296,53.7414485783843,178.525288850206,1
2.16,-1055.15904,27.7331881730128,92.1519504487038,1
2.17,-1054.48848,48.7587265854486,161.973175714144,1
2.18,-1053.81792,48.1591124734741,159.98132917503,1
2.19,-1053.14736,46.42484528603,154.220326469707,1
2.2,-1052.4768,48.0361263607528,159.572784483189,1
2.21,-1051.80624,44.9944809526302,149.468887184551,1
2.22,-1051.13568,47.5103009527639,157.82605947297,1
2.23,-1050.46512,48.5972622172902,161.436809965783,1
2.24,-1049.79456,43.3949468193157,144.155553206715,1
2.25,-1049.124,38.5690205231225,128.125518458711,1
2.26,-1048.45344,46.9006950613535,155.801031104431,1
2.27,-1047.78288,43.1791299625125,143.438658762108,1
2.28,-1047.11232,47.3420323444186,157.267093366463,1
2.29,-1046.44176,35.6229988394166,118.340992652732,1
2.3,-1045.7712,43.0094509267775,142.875024849856,1
2.31,-1045.10064,28.7013789305821,95.3633591676421,1
2.32,-1044.43008,47.4985471522537,157.787014886449,1
2.33,-1043.75952,44.6266394537404,148.246984549723,1
2.34,-1043.08896,46.7334803278067,155.245567343607,1
2.35,-1042.4184,54.7284607810512,181.804060024,1
2.36,-1041.74784,50.9304649954349,169.187459000472,1
2.37,-1041.07728,49.3793059125876,164.034670050829,1
2.38,-1040.40672,50.2090822674466,166.791098490567,1
2.39,-1039.73616,57.243190419161,190.157789712328,1
2.4,-1039.0656,47.8941297794568,159.101089586869,1
2.41,-1038.39504,39.0354266471136,129.674681852572,1
2.42,-1037.72448,46.8077107060308,155.492150135617,1
